acl 2.2.53-1
libdmx 1.1.4-1
libdrm 2.4.100-1
libedit 20191025_3.1-1
libelf 0.177-1
libepoxy 1.5.3-1
libev 4.27-1
libevdev 1.8.0-1
libevent 2.1.11-2
libexif 0.6.21-3
libfdk-aac 2.0.1-1
libffi 3.2.1-3
libfontenc 1.1.4-1
libgcrypt 1.8.5-1
libgexiv2 0.12.0-2
libglade 2.6.4-6
libglvnd 1.2.0-5
libgpg-error 1.36-2
libgudev 233-1
libgusb 0.3.0-1
libheif 1.6.0-1
libibus 1.5.21-1
libical 3.0.6-1
libice 1.0.10-1
libid3tag 0.15.1b-9
libidn2 2.2.0-1
libiec61883 1.2.0-5
libimobiledevice 1.2.0+87+g92c5462-4
libinput 1.14.3-1
libjpeg-turbo 2.0.3-1
libksba 1.3.5-1
libldac 2.0.2.3-2
libldap 2.4.48-1
libmm-glib 1.12.0-1
libmng 2.0.3-2
libmnl 1.0.4-2
libmodplug 0.8.9.0-2
libmpc 1.1.0-1
libmpdclient 2.16-1
libmypaint 1.4.0-1
libndp 1.7-1
libnet 1.1.6-3
libnetfilter_conntrack 1.0.7-1
libnewt 0.52.21-1
libnfnetlink 1.0.1-3
libnftnl 1.1.4-1
libnghttp2 1.39.2-1
libnl 3.5.0-1
libnm 1.20.6-1
libnma 1.8.24-1
libnotify 0.7.8-1
libnsl 1.2.0-1
libogg 1.3.4-1
libomxil-bellagio 0.9.3-2
libpcap 1.9.1-1
libpciaccess 0.16-1
libpeas 1.24.0-1
libpgm 5.2.122-4
libpipeline 1.5.1-1
libplacebo 1.18.0-4
libplist 2.1.0-1
libpng 1.6.37-1
libproxy 0.4.15-10
libpsl 0.21.0-1
libpulse 13.0-2
libraw 0.19.5-2
libraw1394 2.1.2-2
librsvg 2:2.46.3+6+g4735bd07-1
libsamplerate 0.1.9-2
libsasl 2.1.27-1
libseccomp 2.4.1-2
libsecret 0.19.1-1
libsm 1.2.3-1
libsndfile 1.0.28-2
libsodium 1.0.18-1
libsoup 2.68.2-1
libsoxr 0.1.3-1
libspiro 1:20190731-1
libssh 0.9.2-1
libssh2 1.9.0-1
libstdc++5 3.3.6-6
libtasn1 4.14-2
libteam 1.29-1
libthai 0.1.28-1
libtheora 1.1.1-4
libtiff 4.0.10-1
libtirpc 1.1.4-1
libtool 2.4.6+42+gb88cebd5-6
libunistring 0.9.10-1
libunwind 1.3.1-1
libusb 1.0.23-1
libusbmuxd 1.0.10+29+g9db5747-1
libutempter 1.1.6-3
libutil-linux 2.34-3
libuv 1.33.1-1
libva 2.5.0-1
libva-intel-driver 2.3.0-2
libvdpau 1.3-1
libvisual 0.4.0-7
libvorbis 1.3.6-1
libvpx 1.8.1-1
libwacom 1.1-1
libwebp 1.0.3-1
